pillar,category,seed,title
System Design,Streaming_Entertainment,india-company-scenario,How JioCinema keeps systems up during Independence Day midnight traffic surge?
System Design,Streaming_Entertainment,india-company-scenario,How JioCinema survives Holi weekend delivery spikes?
System Design,Streaming_Entertainment,india-company-scenario,How JioCinema optimizes surge pricing during floods and heavy rains?
System Design,Streaming_Entertainment,india-company-scenario,How JioCinema streams Republic Day parade live without downtime?
System Design,Streaming_Entertainment,india-company-scenario,How JioCinema keeps Black Friday shopping smooth in India?
System Design,Streaming_Entertainment,india-company-scenario,How JioCinema delivers wedding season orders when demand skyrockets?
System Design,Streaming_Entertainment,india-company-scenario,How JioCinema handles OTT load during India vs Pakistan match?
System Design,Streaming_Entertainment,india-company-scenario,How JioCinema keeps grocery supply chain running during lockdown-like rush?
System Design,Streaming_Entertainment,india-company-scenario,How JioCinema prevents downtime during G20 summit streaming?
System Design,Streaming_Entertainment,india-company-scenario,How JioCinema processes crores of recharge requests during network outages?
System Design,Streaming_Entertainment,india-company-scenario,How Sony Liv handles crores of UPI payments during Diwali shopping?
System Design,Streaming_Entertainment,india-company-scenario,How Sony Liv survives Big Billion Day sales without crashing?
System Design,Streaming_Entertainment,india-company-scenario,How Sony Liv delivers food during IPL finals when millions order at once?
System Design,Streaming_Entertainment,india-company-scenario,How Sony Liv streams cricket to 30 million concurrent viewers?
System Design,Streaming_Entertainment,india-company-scenario,How Sony Liv books Tatkal tickets at 10 AM for lakhs of users?
System Design,Streaming_Entertainment,india-company-scenario,How Sony Liv handles traffic surge during Coldplay concert ticket sales?
System Design,Streaming_Entertainment,india-company-scenario,How Sony Liv manages cashback and offers during festive rush?
System Design,Streaming_Entertainment,india-company-scenario,How Sony Liv delivers groceries in 10 minutes during monsoon season?
System Design,Streaming_Entertainment,india-company-scenario,How Sony Liv balances rides during Bangalore peak traffic?
System Design,Streaming_Entertainment,india-company-scenario,How Sony Liv streams Bollywood blockbusters to millions on Friday night?
System Design,Streaming_Entertainment,india-company-scenario,How Sony Liv prevents fraud during massive transaction spikes?
System Design,Streaming_Entertainment,india-company-scenario,How Sony Liv runs fantasy leagues for crores of users in IPL finals?
System Design,Streaming_Entertainment,india-company-scenario,How Sony Liv ships lakhs of orders during Great Indian Festival?
System Design,Streaming_Entertainment,india-company-scenario,How Sony Liv assigns cabs instantly during New Year’s Eve?
System Design,Streaming_Entertainment,india-company-scenario,How Sony Liv streams live World Cup cricket matches without buffering?
System Design,Streaming_Entertainment,india-company-scenario,How Sony Liv processes lakhs of stock trades during Budget Day?
System Design,Streaming_Entertainment,india-company-scenario,How Sony Liv delivers sweets and gifts during Raksha Bandhan spike?
System Design,Streaming_Entertainment,india-company-scenario,How Sony Liv handles school exam traffic on edtech live platforms?
System Design,Streaming_Entertainment,india-company-scenario,How Sony Liv manages FASTag tolls for millions of cars daily?
System Design,Streaming_Entertainment,india-company-scenario,How Sony Liv delivers fashion orders during End of Reason Sale?
