pillar,category,seed,title
Databases,Databases — SQL Core,primary/foreign keys & constraints,Naive vs optimal: complexity tradeoffs in primary/foreign keys & constraints
Databases,Databases — SQL Core,SQL joins (inner/left/right/full),Whiteboard to prod: applying SQL joins (inner/left/right/full) with guardrails
Databases,Databases — SQL Core,subqueries & CTEs,Explain like I’m 5: subqueries & CTEs without jargon
Databases,Databases — SQL Core,window functions,Interview day checklist: window functions in 5 bullets
Databases,Databases — SQL Core,"grouping sets, rollups & cubes","The mental model that unlocks grouping sets, rollups & cubes"
Databases,Databases — SQL Core,views & materialized views,What every backend dev should know about views & materialized views
Databases,Databases — SQL Core,stored procedures & functions,Common myths about stored procedures & functions — busted
Databases,Databases — SQL Core,transactions (ACID basics),Production checklists for transactions (ACID basics): observability & SLOs
Databases,Databases — SQL Core,error handling & retries,Cost traps: make error handling & retries fast without burning cloud spend
Databases,Databases — SQL Core,schema design & normalization (1NF/2NF/3NF/BCNF),Pitfalls: consistency surprises inside schema design & normalization (1NF/2NF/3NF/BCNF)
Databases,Databases — SQL Core,primary/foreign keys & constraints,Do’s & don’ts: clean APIs around primary/foreign keys & constraints
Databases,Databases — SQL Core,SQL joins (inner/left/right/full),Debugging live: fix a broken SQL joins (inner/left/right/full) in minutes
Databases,Databases — SQL Core,subqueries & CTEs,Read/Write patterns that pair best with subqueries & CTEs
Databases,Databases — SQL Core,window functions,Tuning knobs for window functions: safe defaults → power moves
Databases,Databases — SQL Core,"grouping sets, rollups & cubes","How to demo grouping sets, rollups & cubes in an interview (with examples)"
Databases,Databases — SQL Core,views & materialized views,When to denormalize without regret — views & materialized views
Databases,Databases — SQL Core,stored procedures & functions,From ERD to tables: mapping stored procedures & functions
Databases,Databases — SQL Core,transactions (ACID basics),Battle-tested naming & indexing conventions for transactions (ACID basics)
Databases,Databases — SQL Core,error handling & retries,Query smells that reveal broken error handling & retries
Databases,Databases — SQL Core,schema design & normalization (1NF/2NF/3NF/BCNF),Explain plan walkthroughs for schema design & normalization (1NF/2NF/3NF/BCNF)
Databases,Databases — SQL Core,primary/foreign keys & constraints,How primary/foreign keys & constraints makes your queries 100x faster (with proofs you can explain)
Databases,Databases — SQL Core,SQL joins (inner/left/right/full),"SQL joins (inner/left/right/full) in 60 seconds — intuition first, syntax second"
Databases,Databases — SQL Core,subqueries & CTEs,Stop guessing: read query plans to master subqueries & CTEs
Databases,Databases — SQL Core,window functions,From slow to snappy: refactor with window functions live
Databases,Databases — SQL Core,"grouping sets, rollups & cubes","Top 7 mistakes in grouping sets, rollups & cubes that cost outages"
Databases,Databases — SQL Core,views & materialized views,Edge cases that break 8/10 views & materialized views designs
Databases,Databases — SQL Core,stored procedures & functions,Naive vs optimal: complexity tradeoffs in stored procedures & functions
Databases,Databases — SQL Core,transactions (ACID basics),Whiteboard to prod: applying transactions (ACID basics) with guardrails
Databases,Databases — SQL Core,error handling & retries,Explain like I’m 5: error handling & retries without jargon
Databases,Databases — SQL Core,schema design & normalization (1NF/2NF/3NF/BCNF),Interview day checklist: schema design & normalization (1NF/2NF/3NF/BCNF) in 5 bullets
Databases,Databases — SQL Core,primary/foreign keys & constraints,The mental model that unlocks primary/foreign keys & constraints
Databases,Databases — SQL Core,SQL joins (inner/left/right/full),What every backend dev should know about SQL joins (inner/left/right/full)
Databases,Databases — SQL Core,subqueries & CTEs,Common myths about subqueries & CTEs — busted
Databases,Databases — SQL Core,window functions,Production checklists for window functions: observability & SLOs
Databases,Databases — SQL Core,"grouping sets, rollups & cubes","Cost traps: make grouping sets, rollups & cubes fast without burning cloud spend"
Databases,Databases — SQL Core,views & materialized views,Pitfalls: consistency surprises inside views & materialized views
Databases,Databases — SQL Core,stored procedures & functions,Do’s & don’ts: clean APIs around stored procedures & functions
Databases,Databases — SQL Core,transactions (ACID basics),Debugging live: fix a broken transactions (ACID basics) in minutes
Databases,Databases — SQL Core,error handling & retries,Read/Write patterns that pair best with error handling & retries
Databases,Databases — SQL Core,schema design & normalization (1NF/2NF/3NF/BCNF),Tuning knobs for schema design & normalization (1NF/2NF/3NF/BCNF): safe defaults → power moves
Databases,Databases — SQL Core,primary/foreign keys & constraints,How to demo primary/foreign keys & constraints in an interview (with examples)
Databases,Databases — SQL Core,schema design & normalization (1NF/2NF/3NF/BCNF),schema design & normalization (1NF/2NF/3NF/BCNF) explained with Bollywood marriages 💍
Databases,Databases — SQL Core,primary/foreign keys & constraints,Tatkal rush mental model for primary/foreign keys & constraints
Databases,Databases — SQL Core,SQL joins (inner/left/right/full),UPI ledger consistency meets SQL joins (inner/left/right/full)
Databases,Databases — SQL Core,subqueries & CTEs,Zomato dinner rush mapped to subqueries & CTEs
Databases,Databases — SQL Core,window functions,IPL match concurrency stress-tests window functions
Databases,Databases — SQL Core,"grouping sets, rollups & cubes","IRCTC queueing intuition for grouping sets, rollups & cubes"
Databases,Databases — SQL Core,views & materialized views,Gully cricket teams = partitions in views & materialized views
Databases,Databases — SQL Core,stored procedures & functions,Traffic on Bengaluru ORR as stored procedures & functions backpressure
Databases,Databases — SQL Core,SQL joins (inner/left/right/full),SQL Joins explained with Bollywood marriages 💍
